flare;radio_flux_10.7cm;sesc_sunspot_number;sunspot_area;goes15_xray_bkgd_flux;mwl_alpha;mwl_beta;mwl_gamma;mwl_beta_gamma;mwl_delta;mwl_beta_delta;mwl_beta_gamma_delta;mwl_gamma_delta
0;72;0;0;0.000000005;0;0;0;0;0;0;0;0
0;72;0;0;0.000000005;0;0;0;0;0;0;0;0
0;73;0;0;0.000000005;0;0;0;0;0;0;0;0
0;74;13;10;0.000000006;0;0;0;0;0;0;0;0
0;74;15;20;0.000000007;0;1;0;0;0;0;0;0
0;73;15;10;0.00000001;0;1;0;0;0;0;0;0
0;73;12;0;0.000000008;0;1;0;0;0;0;0;0
0;74;0;0;0.000000008;1;0;0;0;0;0;0;0
0;74;12;20;0.000000008;0;0;0;0;0;0;0;0
0;75;13;30;0.000000008;0;1;0;0;0;0;0;0
0;74;12;20;0.000000015;0;1;0;0;0;0;0;0
0;75;0;0;0.00000001;0;1;0;0;0;0;0;0
0;75;0;0;0.00000001;0;0;0;0;0;0;0;0
0;75;0;0;0.000000009;0;0;0;0;0;0;0;0
0;76;14;30;0.000000014;0;0;0;0;0;0;0;0
0;75;16;20;0.000000014;0;1;0;0;0;0;0;0
0;74;12;0;0.000000008;0;1;0;0;0;0;0;0
0;75;34;0;0.000000007;1;0;0;0;0;0;0;0
0;75;0;0;0.000000006;1;1;0;0;0;0;0;0
0;77;0;0;0.000000006;0;0;0;0;0;0;0;0
0;74;0;0;0.000000004;0;0;0;0;0;0;0;0
0;73;0;0;0.000000004;0;0;0;0;0;0;0;0
0;73;0;0;0.000000005;0;0;0;0;0;0;0;0
0;74;12;20;0.000000006;0;0;0;0;0;0;0;0
0;73;11;0;0.000000005;0;1;0;0;0;0;0;0
0;74;12;0;0.000000006;1;0;0;0;0;0;0;0
0;74;11;0;0.000000007;0;1;0;0;0;0;0;0
0;73;11;0;0.000000008;1;0;0;0;0;0;0;0
0;75;16;20;0.000000009;1;0;0;0;0;0;0;0
0;74;15;30;0.000000012;0;1;0;0;0;0;0;0
0;72;13;10;0.000000009;0;1;0;0;0;0;0;0
0;71;14;20;0.000000009;0;1;0;0;0;0;0;0
0;78;36;60;0.000000008;0;1;0;0;0;0;0;0
0;80;45;180;0.000000087;0;1;0;0;0;0;0;0
0;81;44;170;0.000000059;0;1;0;0;0;0;0;0
0;75;33;150;0.000000038;0;1;0;0;0;0;0;0
0;74;35;100;0.000000012;1;1;0;0;0;0;0;0
0;76;38;30;0.000000035;1;1;0;0;0;0;0;0
0;75;11;0;0.000000027;1;1;0;0;0;0;0;0
0;73;11;0;0.000000024;1;0;0;0;0;0;0;0
0;72;0;0;0.000000023;1;0;0;0;0;0;0;0
0;71;0;0;0.000000011;0;0;0;0;0;0;0;0
0;71;0;0;0.000000005;0;0;0;0;0;0;0;0
0;71;0;0;0.000000005;0;0;0;0;0;0;0;0
0;71;0;0;0.000000005;0;0;0;0;0;0;0;0
0;72;0;0;0.000000004;0;0;0;0;0;0;0;0
0;72;0;0;0.000000004;0;0;0;0;0;0;0;0
0;73;0;0;0.000000004;0;0;0;0;0;0;0;0
0;73;12;20;0.000000007;0;0;0;0;0;0;0;0
0;72;15;10;0.000000009;0;1;0;0;0;0;0;0
0;73;0;0;0.000000025;1;0;0;0;0;0;0;0
0;73;0;0;0.000000012;0;0;0;0;0;0;0;0
0;74;0;0;0.000000009;0;0;0;0;0;0;0;0
0;75;0;0;0.000000012;0;0;0;0;0;0;0;0
0;75;11;10;0.000000012;0;0;0;0;0;0;0;0
0;74;12;10;0.00000001;1;0;0;0;0;0;0;0
0;74;0;0;0.000000009;0;1;0;0;0;0;0;0
0;74;0;0;0.000000008;0;0;0;0;0;0;0;0
0;73;0;0;0.000000007;0;0;0;0;0;0;0;0
0;74;0;0;0.000000011;0;0;0;0;0;0;0;0
0;72;0;0;0.000000012;0;0;0;0;0;0;0;0
0;74;0;0;0.000000009;0;0;0;0;0;0;0;0
0;74;0;0;0.00000001;0;0;0;0;0;0;0;0
0;75;0;0;0.000000023;0;0;0;0;0;0;0;0
0;75;11;120;0.000000049;0;0;0;0;0;0;0;0
0;74;12;100;0.000000034;1;0;0;0;0;0;0;0
0;75;26;120;0.000000032;0;1;0;0;0;0;0;0
0;75;26;70;0.000000025;1;0;0;0;0;0;0;0
0;75;17;50;0.000000032;0;1;0;0;0;0;0;0
0;74;15;30;0.000000024;0;1;0;0;0;0;0;0
0;74;21;30;0.000000014;0;1;0;0;0;0;0;0
0;74;18;20;0.000000017;0;1;0;0;0;0;0;0
0;76;43;50;0.000000015;0;1;0;0;0;0;0;0
0;76;42;30;0.000000021;1;1;0;0;0;0;0;0
0;76;25;30;0.000000016;1;1;0;0;0;0;0;0
