flare;radio_flux_10.7cm;sesc_sunspot_number;sunspot_area;goes15_xray_bkgd_flux;mwl_alpha;mwl_beta;mwl_gamma;mwl_beta_gamma;mwl_delta;mwl_beta_delta;mwl_beta_gamma_delta;mwl_gamma_delta
0;-1.0222559;-1.1744034;-0.91168629;-0.59686312;0;0;0;0;0;0;0;0
0;-1.0222559;-1.1744034;-0.91168629;-0.59686312;0;0;0;0;0;0;0;0
0;-0.9984693;-1.1744034;-0.91168629;-0.59686312;0;0;0;0;0;0;0;0
0;-0.9746827;-0.97879386;-0.89449853;-0.59543345;0;0;0;0;0;0;0;0
0;-0.9746827;-0.94870009;-0.87731078;-0.59400379;0;1;0;0;0;0;0;0
0;-0.9984693;-0.94870009;-0.89449853;-0.58971481;0;1;0;0;0;0;0;0
0;-0.9984693;-0.99384075;-0.91168629;-0.59257413;0;1;0;0;0;0;0;0
0;-0.9746827;-1.1744034;-0.91168629;-0.59257413;1;0;0;0;0;0;0;0
0;-0.9746827;-0.99384075;-0.87731078;-0.59257413;0;0;0;0;0;0;0;0
0;-0.9508961;-0.97879386;-0.86012302;-0.59257413;0;1;0;0;0;0;0;0
0;-0.9746827;-0.99384075;-0.87731078;-0.5825665;0;1;0;0;0;0;0;0
0;-0.9508961;-1.1744034;-0.91168629;-0.58971481;0;1;0;0;0;0;0;0
0;-0.9508961;-1.1744034;-0.91168629;-0.58971481;0;0;0;0;0;0;0;0
0;-0.9508961;-1.1744034;-0.91168629;-0.59114447;0;0;0;0;0;0;0;0
0;-0.9271094;-0.96374697;-0.86012302;-0.58399616;0;0;0;0;0;0;0;0
0;-0.9508961;-0.9336532;-0.87731078;-0.58399616;0;1;0;0;0;0;0;0
0;-0.9746827;-0.99384075;-0.91168629;-0.59257413;0;1;0;0;0;0;0;0
0;-0.9508961;-0.66280922;-0.91168629;-0.59400379;1;0;0;0;0;0;0;0
0;-0.9508961;-1.1744034;-0.91168629;-0.59543345;1;1;0;0;0;0;0;0
0;-0.9033228;-1.1744034;-0.91168629;-0.59543345;0;0;0;0;0;0;0;0
0;-0.9746827;-1.1744034;-0.91168629;-0.59829278;0;0;0;0;0;0;0;0
0;-0.9984693;-1.1744034;-0.91168629;-0.59829278;0;0;0;0;0;0;0;0
0;-0.9984693;-1.1744034;-0.91168629;-0.59686312;0;0;0;0;0;0;0;0
0;-0.9746827;-0.99384075;-0.87731078;-0.59543345;0;0;0;0;0;0;0;0
0;-0.9984693;-1.00888763;-0.91168629;-0.59686312;0;1;0;0;0;0;0;0
0;-0.9746827;-0.99384075;-0.91168629;-0.59543345;1;0;0;0;0;0;0;0
0;-0.9746827;-1.00888763;-0.91168629;-0.59400379;0;1;0;0;0;0;0;0
0;-0.9984693;-1.00888763;-0.91168629;-0.59257413;1;0;0;0;0;0;0;0
0;-0.9508961;-0.9336532;-0.87731078;-0.59114447;1;0;0;0;0;0;0;0
0;-0.9746827;-0.94870009;-0.86012302;-0.58685548;0;1;0;0;0;0;0;0
0;-1.0222559;-0.97879386;-0.89449853;-0.59114447;0;1;0;0;0;0;0;0
0;-1.0460425;-0.96374697;-0.87731078;-0.59114447;0;1;0;0;0;0;0;0
0;-0.8795362;-0.63271545;-0.80855975;-0.59257413;0;1;0;0;0;0;0;0
0;-0.831963;-0.49729346;-0.60230667;-0.47963084;0;1;0;0;0;0;0;0
0;-0.8081764;-0.51234035;-0.61949442;-0.51966138;0;1;0;0;0;0;0;0
0;-0.9508961;-0.67785611;-0.65386994;-0.54968427;0;1;0;0;0;0;0;0
0;-0.9746827;-0.64776234;-0.73980872;-0.58685548;1;1;0;0;0;0;0;0
0;-0.9271094;-0.60262167;-0.86012302;-0.55397326;1;1;0;0;0;0;0;0
0;-0.9508961;-1.00888763;-0.91168629;-0.56541056;1;1;0;0;0;0;0;0
0;-0.9984693;-1.00888763;-0.91168629;-0.56969954;1;0;0;0;0;0;0;0
0;-1.0222559;-1.1744034;-0.91168629;-0.5711292;1;0;0;0;0;0;0;0
0;-1.0460425;-1.1744034;-0.91168629;-0.58828514;0;0;0;0;0;0;0;0
0;-1.0460425;-1.1744034;-0.91168629;-0.59686312;0;0;0;0;0;0;0;0
0;-1.0460425;-1.1744034;-0.91168629;-0.59686312;0;0;0;0;0;0;0;0
0;-1.0460425;-1.1744034;-0.91168629;-0.59686312;0;0;0;0;0;0;0;0
0;-1.0222559;-1.1744034;-0.91168629;-0.59829278;0;0;0;0;0;0;0;0
0;-1.0222559;-1.1744034;-0.91168629;-0.59829278;0;0;0;0;0;0;0;0
0;-0.9984693;-1.1744034;-0.91168629;-0.59829278;0;0;0;0;0;0;0;0
0;-0.9984693;-0.99384075;-0.87731078;-0.59400379;0;0;0;0;0;0;0;0
0;-1.0222559;-0.94870009;-0.89449853;-0.59114447;0;1;0;0;0;0;0;0
0;-0.9984693;-1.1744034;-0.91168629;-0.56826988;1;0;0;0;0;0;0;0
0;-0.9984693;-1.1744034;-0.91168629;-0.58685548;0;0;0;0;0;0;0;0
0;-0.9746827;-1.1744034;-0.91168629;-0.59114447;0;0;0;0;0;0;0;0
0;-0.9508961;-1.1744034;-0.91168629;-0.58685548;0;0;0;0;0;0;0;0
0;-0.9508961;-1.00888763;-0.89449853;-0.58685548;0;0;0;0;0;0;0;0
0;-0.9746827;-0.99384075;-0.89449853;-0.58971481;1;0;0;0;0;0;0;0
0;-0.9746827;-1.1744034;-0.91168629;-0.59114447;0;1;0;0;0;0;0;0
0;-0.9746827;-1.1744034;-0.91168629;-0.59257413;0;0;0;0;0;0;0;0
0;-0.9984693;-1.1744034;-0.91168629;-0.59400379;0;0;0;0;0;0;0;0
0;-0.9746827;-1.1744034;-0.91168629;-0.58828514;0;0;0;0;0;0;0;0
0;-1.0222559;-1.1744034;-0.91168629;-0.58685548;0;0;0;0;0;0;0;0
0;-0.9746827;-1.1744034;-0.91168629;-0.59114447;0;0;0;0;0;0;0;0
0;-0.9746827;-1.1744034;-0.91168629;-0.58971481;0;0;0;0;0;0;0;0
0;-0.9508961;-1.1744034;-0.91168629;-0.5711292;0;0;0;0;0;0;0;0
0;-0.9508961;-1.00888763;-0.70543321;-0.53395799;0;0;0;0;0;0;0;0
0;-0.9746827;-0.99384075;-0.73980872;-0.55540292;1;0;0;0;0;0;0;0
0;-0.9508961;-0.78318432;-0.70543321;-0.55826225;0;1;0;0;0;0;0;0
0;-0.9508961;-0.78318432;-0.79137199;-0.56826988;1;0;0;0;0;0;0;0
0;-0.9508961;-0.91860631;-0.82574751;-0.55826225;0;1;0;0;0;0;0;0
0;-0.9746827;-0.94870009;-0.86012302;-0.56969954;0;1;0;0;0;0;0;0
0;-0.9746827;-0.85841876;-0.86012302;-0.58399616;0;1;0;0;0;0;0;0
0;-0.9746827;-0.90355942;-0.87731078;-0.57970717;0;1;0;0;0;0;0;0
0;-0.9271094;-0.52738724;-0.82574751;-0.5825665;0;1;0;0;0;0;0;0
0;-0.9271094;-0.54243412;-0.86012302;-0.57398853;1;1;0;0;0;0;0;0
0;-0.9271094;-0.79823121;-0.86012302;-0.58113684;1;1;0;0;0;0;0;0
0;-0.9508961;-0.94870009;-0.86012302;-0.5711292;1;1;0;0;0;0;0;0
0;-0.9746827;-0.8132781;-0.91168629;-0.57684785;0;1;0;0;0;0;0;0
0;-0.9746827;-1.1744034;-0.91168629;-0.58971481;1;1;0;0;0;0;0;0
0;-1.0222559;-0.82832499;-0.91168629;-0.58971481;0;0;0;0;0;0;0;0
0;-1.0460425;-1.1744034;-0.91168629;-0.59686312;0;0;0;0;0;0;0;0
0;-1.0460425;-1.1744034;-0.91168629;-0.59829278;0;0;0;0;0;0;0;0
0;-1.0460425;-1.1744034;-0.91168629;-0.59686312;0;0;0;0;0;0;0;0
0;-1.0460425;-1.1744034;-0.91168629;-0.59686312;0;0;0;0;0;0;0;0
0;-1.0460425;-1.1744034;-0.91168629;-0.59686312;0;0;0;0;0;0;0;0
0;-1.0698292;-1.1744034;-0.91168629;-0.59686312;0;0;0;0;0;0;0;0
0;-1.0222559;-0.97879386;-0.84293526;-0.57541819;1;1;0;0;0;0;0;0
0;-0.9984693;-0.90355942;-0.77418424;-0.55111394;1;1;0;0;0;0;0;0
0;-0.9508961;-0.78318432;-0.73980872;-0.54253597;0;1;0;0;0;0;0;0
0;-0.9746827;-0.73804366;-0.67105769;-0.52966901;0;1;0;0;0;0;0;0
0;-0.9508961;-0.84337187;-0.75699648;-0.5711292;0;1;0;0;0;0;0;0
1;-0.9271094;-0.82832499;-0.79137199;-0.53824698;0;1;0;0;0;0;0;0
0;-0.8081764;-0.39196525;-0.70543321;-0.46104524;0;1;0;0;0;0;0;0
0;-0.8557496;-0.48224658;-0.63668218;-0.49106814;0;1;0;1;0;0;0;0
0;-0.8557496;-0.63271545;-0.63668218;-0.54253597;0;1;0;1;0;0;0;0
0;-0.831963;-0.63271545;-0.73980872;-0.54253597;0;1;0;1;0;0;0;0
0;-0.8795362;-0.75309055;-0.80855975;-0.54968427;0;1;0;0;0;0;0;0
0;-0.9033228;-0.9336532;-0.86012302;-0.28948582;1;1;0;0;0;0;0;0
0;-0.9271094;-0.76813744;-0.86012302;-0.54539529;0;1;0;0;0;0;0;0
0;-0.8795362;-0.72299677;-0.86012302;-0.56398089;1;1;0;0;0;0;0;0
0;-0.8795362;-0.46719969;-0.68824545;-0.54539529;0;1;0;0;0;0;0;0
0;-0.9033228;-0.70794989;-0.67105769;-0.57541819;0;1;0;0;0;0;0;0
0;-0.9271094;-0.72299677;-0.77418424;-0.58399616;0;1;0;0;0;0;0;0
0;-0.8557496;-0.66280922;-0.75699648;-0.55826225;0;1;0;0;0;0;0;0
0;-0.9033228;-0.49729346;-0.72262097;-0.50536476;0;1;0;0;0;0;0;0
0;-0.8557496;-0.58757479;-0.5507434;-0.53967664;1;1;0;0;0;0;0;0
0;-0.9508961;-0.67785611;-0.60230667;-0.48106051;0;1;0;1;0;0;0;0
0;-1.0222559;-0.73804366;-0.84293526;-0.52538002;0;1;0;0;0;0;0;0
0;-1.0698292;-0.97879386;-0.89449853;-0.57684785;0;1;0;0;0;0;0;0
0;-1.0698292;-0.99384075;-0.89449853;-0.58971481;0;1;0;0;0;0;0;0
0;-1.0698292;-1.1744034;-0.91168629;-0.58971481;1;0;0;0;0;0;0;0
0;-1.0698292;-1.1744034;-0.91168629;-0.58971481;0;0;0;0;0;0;0;0
0;-1.0460425;-0.99384075;-0.89449853;-0.58971481;0;0;0;0;0;0;0;0
0;-1.0936158;-0.97879386;-0.91168629;-0.58971481;0;1;0;0;0;0;0;0
0;-1.0698292;-0.97879386;-0.91168629;-0.58971481;0;1;0;0;0;0;0;0
0;-1.0936158;-0.99384075;-0.91168629;-0.58971481;0;1;0;0;0;0;0;0
0;-1.0460425;-0.692903;-0.86012302;-0.58971481;0;1;0;0;0;0;0;0
0;-0.9984693;-0.91860631;-0.86012302;-0.57827751;0;1;0;0;0;0;0;0
0;-1.0222559;-0.91860631;-0.86012302;-0.58399616;0;1;0;0;0;0;0;0
0;-1.0222559;-0.99384075;-0.91168629;-0.58971481;0;1;0;0;0;0;0;0
0;-0.9984693;-1.1744034;-0.91168629;-0.58542582;1;0;0;0;0;0;0;0
0;-1.0222559;-1.1744034;-0.91168629;-0.58399616;0;0;0;0;0;0;0;0
0;-1.0222559;-1.1744034;-0.91168629;-0.58971481;0;0;0;0;0;0;0;0
0;-1.0460425;-0.97879386;-0.89449853;-0.58971481;0;0;0;0;0;0;0;0
0;-1.0460425;-1.00888763;-0.91168629;-0.57827751;0;1;0;0;0;0;0;0
0;-1.0222559;-1.00888763;-0.70543321;-0.49106814;1;0;0;0;0;0;0;0
0;-1.0222559;-1.00888763;-0.75699648;-0.5825665;1;0;0;0;0;0;0;0
0;-1.0222559;-1.00888763;-0.79137199;-0.58828514;1;0;0;0;0;0;0;0
0;-1.0222559;-0.82832499;-0.75699648;-0.58828514;1;0;0;0;0;0;0;0
0;-1.0222559;-0.96374697;-0.75699648;-0.58971481;1;1;0;0;0;0;0;0
0;-1.0222559;-0.82832499;-0.75699648;-0.58971481;0;1;0;0;0;0;0;0
0;-1.0222559;-0.78318432;-0.75699648;-0.58828514;1;0;0;0;0;0;0;0
0;-1.0222559;-0.99384075;-0.80855975;-0.57255886;1;1;0;0;0;0;0;0
0;-0.9746827;-0.94870009;-0.79137199;-0.58685548;1;0;0;0;0;0;0;0
0;-0.9746827;-0.91860631;-0.79137199;-0.51251307;0;1;0;0;0;0;0;0
0;-0.9984693;-0.94870009;-0.82574751;-0.55683258;0;1;0;0;0;0;0;0
0;-0.831963;-0.76813744;-0.84293526;-0.58542582;0;1;0;0;0;0;0;0
0;-0.9984693;-0.46719969;-0.89449853;-0.5825665;1;1;0;0;0;0;0;0
0;-0.9746827;-0.692903;-0.80855975;-0.56826988;1;1;0;0;0;0;0;0
0;-0.9746827;-0.40701214;-0.63668218;-0.55826225;1;1;0;0;0;0;0;0
0;-0.8557496;-0.31673081;-0.65386994;-0.56541056;1;1;0;0;0;0;0;0
1;-0.7130299;0.01430071;-0.46480461;-0.41815539;1;1;0;0;0;0;0;0
0;-0.8081764;-0.18130883;-0.48199237;-0.38956215;1;1;0;0;0;0;0;0
0;-0.9271094;-0.30168393;-0.61949442;-0.48249017;1;1;0;0;0;0;0;0
0;-0.9033228;-0.39196525;-0.65386994;-0.4924978;1;1;0;0;0;0;0;0
0;-0.8795362;-0.42205903;-0.68824545;-0.54825461;1;1;0;0;0;0;0;0
0;-0.831963;-0.60262167;-0.73980872;-0.44674862;1;1;0;0;0;0;0;0
0;-0.8795362;-0.52738724;-0.84293526;-0.38956215;1;1;0;0;0;0;0;0
0;-0.9033228;-0.79823121;-0.86012302;-0.48391983;0;1;0;0;0;0;0;0
0;-0.9271094;-0.76813744;-0.82574751;-0.53538766;0;1;0;0;0;0;0;0
0;-0.9508961;-0.64776234;-0.86012302;-0.5525436;1;1;0;0;0;0;0;0
0;-0.9984693;-0.73804366;-0.82574751;-0.57541819;1;1;0;0;0;0;0;0
0;-0.9033228;-0.67785611;-0.79137199;-0.57255886;0;1;0;0;0;0;0;0
0;-0.9033228;-0.64776234;-0.70543321;-0.53967664;0;1;0;0;0;0;0;0
0;-0.9508961;-0.87346565;-0.65386994;-0.54396563;1;1;0;0;0;0;0;0
0;-0.9746827;-0.9336532;-0.72262097;-0.5525436;0;1;0;0;0;0;0;0
0;-0.9746827;-0.94870009;-0.70543321;-0.57255886;0;1;0;0;0;0;0;0
0;-0.9746827;-0.94870009;-0.72262097;-0.56826988;0;1;0;0;0;0;0;0
0;-0.9508961;-0.91860631;-0.75699648;-0.55683258;0;1;0;0;0;0;0;0
0;-0.9984693;-0.63271545;-0.86012302;-0.5525436;0;1;0;0;0;0;0;0
0;-0.9984693;-0.82832499;-0.87731078;-0.5825665;1;1;0;0;0;0;0;0
0;-1.0222559;-1.00888763;-0.89449853;-0.5711292;1;1;0;0;0;0;0;0
0;-1.0460425;-1.00888763;-0.89449853;-0.57255886;1;0;0;0;0;0;0;0
0;-1.0698292;-0.78318432;-0.84293526;-0.58971481;1;0;0;0;0;0;0;0
0;-1.0698292;-0.76813744;-0.86012302;-0.58971481;0;1;0;0;0;0;0;0
0;-1.0460425;-0.70794989;-0.84293526;-0.58971481;1;1;0;0;0;0;0;0
0;-1.0460425;-0.73804366;-0.86012302;-0.58685548;0;1;0;0;0;0;0;0
0;-1.0222559;-0.60262167;-0.79137199;-0.58971481;1;1;0;0;0;0;0;0
0;-1.0698292;-0.70794989;-0.86012302;-0.58828514;1;1;0;0;0;0;0;0
0;-1.0460425;-0.73804366;-0.84293526;-0.58971481;1;1;0;0;0;0;0;0
0;-1.0698292;-0.9336532;-0.87731078;-0.58971481;0;1;0;0;0;0;0;0
0;-1.0698292;-0.82832499;-0.89449853;-0.58971481;0;1;0;0;0;0;0;0
0;-1.1174024;-1.00888763;-0.91168629;-0.58971481;1;0;0;0;0;0;0;0
0;-1.0698292;-0.94870009;-0.89449853;-0.58971481;1;0;0;0;0;0;0;0
0;-1.0936158;-0.96374697;-0.89449853;-0.58971481;0;1;0;0;0;0;0;0
0;-1.0698292;-0.96374697;-0.89449853;-0.58971481;0;1;0;0;0;0;0;0
0;-1.0222559;-0.66280922;-0.84293526;-0.58971481;0;1;0;0;0;0;0;0
0;-1.0222559;-0.82832499;-0.84293526;-0.58399616;0;1;0;0;0;0;0;0
0;-1.0222559;-0.88851254;-0.86012302;-0.57398853;0;1;0;0;0;0;0;0
0;-1.0460425;-0.78318432;-0.89449853;-0.58399616;0;1;0;0;0;0;0;0
0;-1.0698292;-0.8132781;-0.91168629;-0.58971481;1;1;0;0;0;0;0;0
0;-1.0698292;-1.1744034;-0.91168629;-0.5225207;1;0;0;0;0;0;0;0
0;-1.0698292;-1.1744034;-0.91168629;-0.58971481;0;0;0;0;0;0;0;0
0;-1.0698292;-0.99384075;-0.89449853;-0.58971481;0;0;0;0;0;0;0;0
